Season,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,WS
2020,Giannis Antetokounmpo,25,Milwaukee Bucks,63,30.4,29.5,13.6,5.6,1,1,11.1
2019,Giannis Antetokounmpo,24,Milwaukee Bucks,72,32.8,27.7,12.5,5.9,1.3,1.5,14.4
2018,James Harden,28,Houston Rockets,72,35.4,30.4,5.4,8.8,1.8,0.7,15.4
2017,Russell Westbrook,28,Oklahoma City Thunder,81,34.6,31.6,10.7,10.4,1.6,0.4,13.1
2016,Stephen Curry,27,Golden State Warriors,79,34.2,30.1,5.4,6.7,2.1,0.2,17.9
2015,Stephen Curry,26,Golden State Warriors,80,32.7,23.8,4.3,7.7,2,0.2,15.7
2014,Kevin Durant,25,Oklahoma City Thunder,81,38.5,32,7.4,5.5,1.3,0.7,19.2
2013,LeBron James,28,Miami Heat,76,37.9,26.8,8,7.3,1.7,0.9,19.3
2012,LeBron James,27,Miami Heat,62,37.5,27.1,7.9,6.2,1.9,0.8,14.5
2011,Derrick Rose,22,Chicago Bulls,81,37.4,25,4.1,7.7,1,0.6,13.1
2010,LeBron James,25,Cleveland Cavaliers,76,39,29.7,7.3,8.6,1.6,1,18.5
2009,LeBron James,24,Cleveland Cavaliers,81,37.7,28.4,7.6,7.2,1.7,1.1,20.3
2008,Kobe Bryant,29,Los Angeles Lakers,82,38.9,28.3,6.3,5.4,1.8,0.5,13.8
2007,Dirk Nowitzki,28,Dallas Mavericks,78,36.2,24.6,8.9,3.4,0.7,0.8,16.3
2006,Steve Nash,31,Phoenix Suns,79,35.4,18.8,4.2,10.5,0.8,0.2,12.4
2005,Steve Nash,30,Phoenix Suns,75,34.3,15.5,3.3,11.5,1,0.1,10.9
2004,Kevin Garnett,27,Minnesota Timberwolves,82,39.4,24.2,13.9,5,1.5,2.2,18.3
2003,Tim Duncan,26,San Antonio Spurs,81,39.3,23.3,12.9,3.9,0.7,2.9,16.5
2002,Tim Duncan,25,San Antonio Spurs,82,40.6,25.5,12.7,3.7,0.7,2.5,17.8
2001,Allen Iverson,25,Philadelphia 76ers,71,42,31.1,3.8,4.6,2.5,0.3,11.8
2000,Shaquille O'Neal,27,Los Angeles Lakers,79,40,29.7,13.6,3.8,0.5,3,18.6
1999,Karl Malone,35,Utah Jazz,49,37.4,23.8,9.4,4.1,1.3,0.6,9.6
1998,Michael Jordan,34,Chicago Bulls,82,38.8,28.7,5.8,3.5,1.7,0.5,15.8
1997,Karl Malone,33,Utah Jazz,82,36.6,27.4,9.9,4.5,1.4,0.6,16.7
1996,Michael Jordan,32,Chicago Bulls,82,37.7,30.4,6.6,4.3,2.2,0.5,20.4
1995,David Robinson,29,San Antonio Spurs,81,38,27.6,10.8,2.9,1.7,3.2,17.5
1994,Hakeem Olajuwon,31,Houston Rockets,80,41,27.3,11.9,3.6,1.6,3.7,14.3
1993,Charles Barkley,29,Phoenix Suns,76,37.6,25.6,12.2,5.1,1.6,1,14.4
1992,Michael Jordan,28,Chicago Bulls,80,38.8,30.1,6.4,6.1,2.3,0.9,17.7
1991,Michael Jordan,27,Chicago Bulls,82,37,31.5,6,5.5,2.7,1,20.3
1990,Magic Johnson,30,Los Angeles Lakers,79,37.2,22.3,6.6,11.5,1.7,0.4,16.5
